n,T,t,p_j
10,162,7,"[36, 38, 38, 21, 46, 9, 38, 44, 42, 23]"
10,196,16,"[13, 36, 43, 33, 8, 31, 40, 29, 10, 14]"
10,181,15,"[12, 32, 4, 9, 50, 10, 16, 43, 22, 38]"
10,196,8,"[27, 22, 44, 4, 40, 32, 3, 49, 20, 2]"
10,198,19,"[50, 27, 45, 21, 1, 12, 15, 12, 42, 6]"
10,170,10,"[5, 1, 26, 24, 20, 26, 13, 8, 21, 12]"
10,174,18,"[26, 22, 30, 36, 12, 26, 35, 17, 9, 43]"
10,174,11,"[19, 5, 21, 38, 48, 43, 11, 27, 38, 49]"
10,180,17,"[5, 2, 4, 22, 29, 12, 46, 25, 7, 4]"
10,155,13,"[9, 9, 9, 38, 13, 24, 4, 29, 20, 44]"
10,197,8,"[27, 30, 34, 21, 10, 42, 17, 33, 6, 41]"
10,193,7,"[19, 7, 38, 32, 30, 32, 4, 6, 30, 5]"
10,176,13,"[12, 33, 25, 22, 49, 33, 11, 23, 12, 3]"
10,162,19,"[32, 45, 4, 24, 50, 28, 22, 7, 6, 20]"
20,171,10,"[31, 29, 37, 21, 14, 50, 4, 27, 50, 48, 21, 32, 1, 47, 2, 33, 42, 45, 17, 8]"
20,159,17,"[6, 44, 10, 48, 44, 17, 44, 5, 16, 48, 33, 35, 41, 24, 3, 24, 50, 32, 15, 6]"
20,189,11,"[47, 50, 23, 11, 29, 40, 11, 7, 34, 1, 20, 1, 31, 3, 30, 35, 29, 41, 16, 44]"
20,192,18,"[37, 31, 8, 1, 15, 10, 28, 30, 3, 9, 29, 43, 43, 24, 39, 34, 2, 42, 39, 12]"
20,179,10,"[26, 20, 44, 1, 23, 11, 45, 16, 7, 28, 25, 50, 39, 13, 40, 39, 13, 49, 38, 28]"
20,157,14,"[43, 30, 14, 8, 6, 18, 45, 29, 35, 6, 26, 44, 29, 43, 12, 39, 41, 14, 16, 20]"
20,157,12,"[23, 38, 34, 29, 45, 44, 42, 38, 17, 23, 13, 29, 35, 44, 31, 22, 46, 1, 43, 17]"
20,165,8,"[20, 21, 37, 38, 11, 46, 31, 28, 18, 2, 38, 9, 34, 2, 44, 13, 30, 32, 32, 27]"
20,173,9,"[15, 20, 11, 21, 16, 12, 28, 29, 43, 28, 4, 20, 4, 20, 44, 41, 27, 47, 42, 25]"
20,164,15,"[48, 8, 43, 24, 16, 25, 13, 29, 42, 23, 31, 42, 14, 7, 35, 17, 15, 12, 24, 45]"
20,154,7,"[46, 41, 17, 40, 15, 44, 37, 35, 45, 32, 8, 17, 8, 22, 8, 21, 3, 20, 43, 3]"
20,200,16,"[20, 17, 5, 8, 16, 7, 1, 32, 28, 20, 50, 12, 4, 13, 47, 36, 12, 31, 8, 13]"
20,200,14,"[48, 3, 6, 15, 8, 43, 32, 3, 28, 18, 9, 24, 28, 38, 31, 14, 9, 4, 31, 2]"
20,187,11,"[2, 6, 10, 50, 37, 20, 32, 37, 49, 24, 29, 41, 22, 37, 29, 14, 19, 21, 6, 43]"
20,153,9,"[6, 2, 19, 3, 29, 33, 8, 34, 43, 50, 5, 2, 15, 6, 36, 22, 32, 6, 36, 2]"
20,155,15,"[21, 26, 24, 5, 18, 39, 25, 45, 18, 1, 20, 12, 14, 3, 29, 18, 6, 31, 33, 9]"
20,156,12,"[25, 32, 26, 49, 32, 15, 5, 7, 3, 37, 22, 21, 5, 33, 29, 25, 24, 36, 49, 33]"
20,152,9,"[22, 49, 23, 40, 43, 12, 2, 14, 8, 5, 35, 27, 1, 2, 22, 35, 16, 8, 25, 1]"
20,156,11,"[37, 7, 34, 16, 18, 26, 26, 28, 13, 24, 50, 5, 29, 17, 38, 38, 16, 24, 27, 17]"
20,158,9,"[20, 18, 45, 47, 36, 38, 5, 23, 2, 12, 49, 11, 34, 6, 45, 31, 28, 22, 9, 12]"
20,191,9,"[41, 45, 43, 39, 46, 28, 21, 29, 6, 7, 18, 18, 47, 24, 26, 41, 16, 13, 4, 1]"
20,153,6,"[7, 12, 37, 18, 17, 3, 30, 26, 21, 33, 46, 46, 7, 20, 41, 3, 27, 17, 41, 46]"
20,176,7,"[45, 7, 39, 48, 26, 36, 39, 2, 38, 26, 39, 48, 48, 37, 18, 45, 47, 20, 43, 15]"
20,152,10,"[8, 7, 19, 3, 21, 29, 3, 26, 46, 18, 34, 46, 37, 8, 20, 43, 38, 3, 14, 5]"
20,159,12,"[36, 42, 46, 43, 8, 24, 40, 6, 10, 29, 22, 16, 16, 29, 39, 6, 38, 50, 37, 11]"
20,167,19,"[44, 5, 20, 34, 8, 29, 2, 8, 45, 9, 23, 46, 45, 13, 22, 13, 41, 27, 19, 1]"
20,168,6,"[27, 14, 33, 9, 23, 36, 37, 10, 1, 8, 46, 44, 50, 33, 50, 45, 10, 44, 47, 30]"
20,194,19,"[4, 49, 39, 3, 15, 17, 17, 6, 24, 21, 10, 37, 14, 20, 44, 35, 9, 11, 47, 12]"
20,162,14,"[39, 23, 39, 3, 42, 21, 31, 2, 25, 28, 13, 9, 28, 46, 20, 20, 8, 29, 47, 30]"
20,154,15,"[29, 2, 47, 25, 44, 43, 31, 7, 16, 35, 2, 24, 23, 20, 37, 17, 41, 25, 50, 5]"
20,195,5,"[32, 15, 37, 22, 10, 7, 28, 31, 45, 22, 29, 32, 13, 31, 16, 36, 43, 44, 1, 42]"
20,168,15,"[39, 34, 5, 22, 41, 35, 32, 26, 49, 6, 5, 8, 13, 29, 40, 5, 41, 1, 30, 24]"
20,151,7,"[28, 21, 2, 21, 45, 29, 8, 45, 12, 39, 16, 9, 49, 11, 32, 24, 28, 42, 42, 9]"
20,189,17,"[48, 27, 31, 23, 39, 9, 37, 12, 32, 27, 24, 14, 46, 22, 21, 11, 43, 40, 4, 1]"
20,157,14,"[49, 7, 32, 21, 29, 6, 46, 11, 43, 10, 3, 20, 27, 13, 10, 37, 24, 16, 28, 35]"
20,185,14,"[18, 28, 13, 18, 18, 5, 37, 6, 36, 43, 8, 21, 49, 15, 44, 39, 37, 42, 24, 47]"
20,161,10,"[26, 21, 27, 12, 7, 49, 17, 29, 41, 2, 5, 1, 16, 13, 41, 27, 1, 13, 36, 22]"
20,200,14,"[32, 36, 5, 16, 8, 14, 1, 31, 16, 4, 45, 42, 14, 42, 4, 37, 35, 19, 27, 42]"
20,151,11,"[16, 32, 48, 34, 3, 13, 15, 16, 11, 3, 26, 40, 19, 17, 45, 36, 29, 49, 4, 32]"
20,161,8,"[16, 13, 6, 39, 2, 29, 45, 24, 6, 29, 6, 25, 25, 4, 18, 26, 23, 17, 3, 31]"
20,197,16,"[21, 27, 13, 7, 27, 48, 21, 46, 9, 39, 37, 6, 37, 21, 45, 13, 34, 28, 44, 6]"
20,174,18,"[9, 18, 40, 39, 29, 35, 31, 9, 17, 33, 27, 30, 10, 28, 4, 36, 47, 28, 49, 41]"
20,176,18,"[37, 43, 33, 39, 44, 34, 20, 28, 34, 16, 8, 27, 37, 33, 31, 2, 38, 14, 14, 2]"
20,189,12,"[10, 18, 11, 8, 48, 7, 38, 21, 1, 36, 20, 19, 9, 2, 27, 15, 33, 21, 8, 35]"
20,158,17,"[9, 38, 50, 12, 22, 5, 22, 36, 47, 15, 24, 49, 20, 14, 29, 1, 17, 15, 4, 45]"
20,190,5,"[30, 35, 28, 13, 4, 36, 44, 8, 46, 43, 33, 38, 3, 20, 4, 21, 6, 21, 29, 24]"
20,179,7,"[22, 38, 11, 47, 38, 28, 46, 34, 13, 27, 8, 36, 13, 32, 40, 31, 24, 41, 33, 40]"
20,160,5,"[5, 44, 12, 22, 33, 38, 45, 32, 16, 36, 26, 5, 26, 6, 4, 33, 39, 22, 33, 43]"
20,194,11,"[45, 49, 30, 11, 11, 10, 13, 14, 41, 29, 50, 17, 44, 3, 38, 48, 4, 3, 15, 40]"
20,186,18,"[16, 4, 24, 49, 10, 41, 20, 20, 5, 44, 8, 35, 17, 40, 32, 27, 35, 13, 49, 39]"
30,173,7,"[30, 45, 39, 17, 25, 12, 39, 46, 1, 39, 13, 36, 32, 43, 41, 28, 24, 48, 22, 8, 17, 30, 18, 26, 29, 3, 27, 17, 12, 14]"
30,172,14,"[18, 23, 45, 41, 23, 8, 28, 19, 2, 8, 33, 27, 32, 24, 31, 46, 32, 41, 49, 5, 50, 13, 39, 44, 16, 20, 22, 44, 14, 4]"
30,186,19,"[35, 46, 20, 33, 28, 28, 40, 11, 28, 45, 1, 30, 23, 22, 25, 2, 26, 36, 15, 29, 45, 4, 47, 22, 24, 28, 45, 8, 20, 16]"
30,172,6,"[16, 2, 16, 38, 5, 2, 48, 4, 38, 31, 49, 34, 49, 7, 45, 8, 29, 26, 43, 20, 16, 2, 9, 46, 19, 23, 27, 22, 7, 37]"
30,160,10,"[44, 36, 35, 31, 4, 49, 44, 25, 41, 6, 11, 12, 36, 28, 28, 8, 49, 2, 19, 26, 45, 30, 47, 43, 16, 40, 42, 8, 31, 44]"
30,186,13,"[15, 26, 24, 11, 46, 36, 34, 46, 5, 36, 29, 38, 11, 21, 7, 46, 42, 34, 48, 3, 17, 34, 24, 35, 40, 45, 44, 35, 34, 42]"
30,179,16,"[38, 28, 44, 45, 7, 17, 8, 22, 14, 12, 31, 43, 42, 46, 2, 21, 43, 26, 37, 36, 16, 25, 17, 45, 48, 18, 28, 13, 12, 1]"
30,172,11,"[28, 37, 32, 48, 4, 4, 30, 46, 24, 16, 46, 35, 48, 46, 41, 15, 32, 41, 13, 10, 44, 9, 18, 24, 12, 13, 36, 16, 47, 19]"
30,183,17,"[32, 33, 22, 39, 47, 50, 23, 17, 15, 33, 49, 11, 49, 10, 34, 37, 1, 46, 25, 20, 30, 46, 41, 28, 49, 37, 43, 22, 4, 28]"
30,156,10,"[37, 10, 38, 21, 32, 6, 24, 29, 15, 6, 32, 50, 24, 14, 17, 41, 5, 4, 40, 27, 31, 40, 48, 40, 42, 40, 32, 3, 22, 25]"
30,185,10,"[50, 15, 8, 46, 6, 48, 1, 46, 5, 2, 17, 16, 17, 2, 43, 31, 26, 44, 2, 36, 28, 27, 21, 9, 7, 41, 47, 34, 6, 3]"
30,192,13,"[48, 17, 39, 25, 29, 7, 23, 38, 22, 5, 33, 22, 1, 40, 32, 16, 21, 47, 37, 39, 36, 3, 17, 2, 9, 27, 10, 32, 2, 24]"
30,172,15,"[41, 29, 6, 17, 12, 21, 42, 33, 44, 39, 21, 8, 29, 37, 40, 34, 10, 30, 23, 46, 32, 34, 48, 43, 8, 10, 1, 19, 30, 20]"
30,198,8,"[15, 2, 14, 3, 45, 27, 37, 12, 44, 20, 19, 10, 18, 18, 8, 10, 44, 32, 39, 18, 4, 14, 36, 29, 41, 38, 48, 19, 16, 26]"
30,180,9,"[38, 14, 46, 39, 13, 4, 23, 6, 43, 48, 16, 24, 3, 2, 23, 12, 31, 20, 38, 25, 19, 8, 29, 29, 7, 23, 17, 7, 43, 24]"
30,194,16,"[22, 5, 20, 8, 8, 4, 31, 13, 26, 15, 9, 35, 49, 5, 12, 9, 33, 8, 2, 9, 15, 38, 36, 46, 29, 28, 49, 47, 35, 32]"
30,154,13,"[27, 7, 4, 5, 45, 16, 36, 2, 42, 11, 21, 23, 33, 5, 32, 29, 22, 15, 29, 39, 43, 31, 40, 1, 2, 32, 20, 15, 35, 45]"
30,192,11,"[24, 27, 9, 47, 12, 17, 49, 8, 38, 22, 2, 8, 45, 16, 44, 34, 29, 50, 20, 2, 39, 20, 45, 36, 29, 46, 36, 17, 17, 7]"
30,199,13,"[24, 10, 34, 27, 18, 47, 48, 39, 17, 38, 47, 42, 20, 45, 34, 40, 18, 3, 36, 45, 44, 26, 39, 16, 2, 45, 39, 39, 45, 23]"
30,199,7,"[20, 29, 45, 8, 45, 40, 21, 12, 3, 22, 43, 45, 30, 10, 45, 9, 6, 38, 9, 40, 21, 6, 34, 11, 3, 8, 47, 1, 26, 48]"
30,178,11,"[17, 16, 44, 46, 16, 6, 35, 15, 32, 44, 28, 5, 30, 2, 14, 17, 50, 29, 38, 44, 25, 9, 31, 9, 50, 4, 4, 3, 42, 32]"
30,172,18,"[40, 21, 36, 28, 6, 21, 47, 11, 6, 30, 39, 22, 27, 47, 10, 48, 2, 30, 24, 43, 22, 44, 14, 12, 8, 45, 36, 33, 45, 36]"
30,160,15,"[19, 48, 11, 29, 32, 5, 14, 30, 13, 34, 1, 18, 28, 29, 11, 22, 11, 44, 9, 4, 29, 4, 20, 39, 14, 38, 5, 15, 44, 33]"
30,170,17,"[10, 39, 11, 10, 5, 28, 10, 15, 48, 26, 38, 18, 32, 19, 1, 16, 49, 27, 6, 45, 7, 20, 11, 46, 40, 10, 10, 14, 23, 16]"
30,168,13,"[50, 13, 24, 28, 29, 46, 7, 24, 26, 38, 30, 36, 31, 31, 7, 12, 4, 12, 41, 6, 18, 3, 12, 43, 46, 40, 39, 14, 48, 6]"
30,151,14,"[16, 46, 50, 13, 2, 48, 21, 38, 45, 23, 6, 25, 32, 47, 42, 46, 39, 12, 1, 7, 37, 16, 2, 41, 29, 20, 49, 30, 43, 16]"
30,172,19,"[15, 5, 20, 33, 40, 31, 38, 12, 19, 43, 14, 33, 36, 22, 9, 11, 18, 5, 43, 20, 46, 17, 6, 47, 41, 46, 18, 50, 47, 15]"
30,164,15,"[9, 22, 47, 5, 50, 1, 39, 30, 13, 25, 25, 21, 2, 10, 41, 7, 15, 37, 32, 23, 19, 46, 38, 29, 36, 11, 47, 49, 33, 34]"
30,169,11,"[44, 30, 38, 7, 10, 31, 6, 33, 34, 4, 48, 38, 28, 49, 37, 2, 30, 36, 23, 23, 44, 35, 19, 30, 20, 42, 8, 10, 49, 10]"
30,186,19,"[28, 46, 30, 9, 39, 13, 11, 21, 26, 26, 33, 21, 10, 14, 8, 11, 21, 42, 38, 49, 28, 41, 40, 5, 23, 27, 4, 30, 22, 1]"
30,179,12,"[19, 40, 25, 46, 14, 17, 3, 14, 20, 21, 32, 35, 13, 39, 18, 45, 9, 26, 34, 3, 33, 49, 16, 1, 20, 34, 9, 40, 7, 48]"
30,194,11,"[5, 31, 4, 46, 10, 8, 30, 32, 6, 22, 16, 31, 33, 10, 48, 22, 14, 35, 48, 42, 40, 49, 28, 17, 39, 36, 15, 9, 15, 9]"
30,156,16,"[24, 48, 1, 31, 25, 6, 26, 11, 48, 19, 37, 39, 31, 31, 32, 25, 24, 20, 1, 32, 18, 30, 31, 29, 47, 31, 33, 6, 39, 21]"
30,167,11,"[4, 37, 28, 21, 28, 18, 29, 28, 14, 5, 21, 29, 17, 3, 9, 40, 17, 1, 32, 4, 2, 7, 19, 50, 47, 34, 32, 16, 42, 41]"
30,164,15,"[32, 1, 16, 16, 36, 39, 11, 19, 7, 22, 31, 14, 49, 1, 43, 37, 8, 37, 28, 28, 4, 38, 45, 33, 30, 29, 12, 14, 33, 31]"
30,167,17,"[26, 37, 49, 47, 34, 7, 19, 4, 28, 16, 36, 39, 41, 6, 38, 30, 44, 41, 24, 38, 1, 18, 24, 29, 38, 25, 48, 39, 40, 44]"
30,178,17,"[19, 39, 21, 41, 48, 20, 8, 22, 26, 17, 31, 32, 7, 22, 33, 2, 21, 11, 25, 22, 18, 3, 39, 19, 11, 42, 17, 6, 7, 6]"
30,167,12,"[9, 24, 41, 25, 5, 49, 37, 24, 48, 21, 43, 36, 32, 13, 49, 4, 34, 30, 33, 37, 20, 5, 46, 17, 32, 36, 22, 41, 10, 17]"
30,191,19,"[34, 3, 43, 28, 38, 25, 33, 25, 47, 50, 10, 37, 22, 23, 32, 41, 17, 31, 9, 12, 33, 32, 24, 36, 45, 33, 19, 46, 32, 21]"
30,192,13,"[22, 48, 19, 44, 26, 47, 11, 36, 29, 2, 44, 4, 7, 15, 33, 6, 39, 29, 21, 19, 4, 46, 48, 4, 3, 10, 29, 14, 29, 6]"
30,153,18,"[40, 5, 23, 13, 43, 10, 35, 12, 10, 1, 2, 21, 21, 15, 40, 6, 2, 22, 20, 47, 13, 39, 12, 44, 4, 5, 9, 19, 45, 20]"
30,171,19,"[1, 32, 34, 30, 38, 39, 5, 36, 12, 20, 48, 47, 3, 5, 19, 27, 15, 20, 26, 30, 2, 36, 40, 47, 33, 9, 42, 7, 46, 10]"
30,180,7,"[44, 33, 8, 45, 50, 6, 14, 25, 9, 4, 38, 1, 22, 13, 13, 21, 1, 15, 26, 22, 39, 47, 33, 45, 37, 26, 8, 18, 21, 6]"
30,152,8,"[9, 37, 11, 44, 25, 31, 6, 39, 25, 42, 2, 9, 41, 42, 5, 46, 49, 23, 8, 34, 50, 45, 12, 45, 20, 39, 45, 10, 14, 28]"
30,169,13,"[25, 3, 12, 38, 49, 34, 32, 30, 17, 34, 29, 35, 14, 20, 37, 34, 18, 31, 41, 4, 16, 31, 33, 46, 13, 11, 27, 41, 27, 12]"
30,182,11,"[27, 24, 48, 17, 14, 45, 13, 40, 10, 43, 49, 14, 7, 42, 7, 42, 44, 19, 48, 13, 13, 1, 19, 42, 33, 34, 19, 31, 45, 3]"
30,167,11,"[12, 49, 35, 14, 21, 33, 20, 6, 40, 19, 24, 30, 30, 4, 30, 32, 46, 19, 41, 36, 1, 17, 39, 43, 31, 16, 39, 45, 15, 14]"
30,191,19,"[38, 16, 39, 16, 25, 44, 48, 12, 20, 25, 39, 10, 31, 23, 22, 41, 11, 40, 15, 6, 31, 28, 7, 41, 29, 12, 37, 7, 47, 49]"
30,177,13,"[38, 32, 21, 42, 16, 39, 11, 40, 25, 11, 23, 12, 41, 28, 38, 14, 3, 28, 15, 34, 36, 39, 16, 33, 34, 45, 17, 7, 30, 25]"
30,171,11,"[47, 8, 41, 49, 25, 33, 48, 29, 50, 28, 39, 50, 24, 35, 14, 26, 30, 18, 17, 42, 41, 31, 6, 37, 24, 31, 40, 18, 48, 22]"
40,193,7,"[42, 27, 9, 23, 19, 45, 33, 17, 50, 10, 29, 34, 37, 17, 15, 27, 2, 11, 22, 20, 23, 25, 39, 43, 18, 20, 22, 43, 21, 41, 42, 14, 3, 6, 30, 46, 5, 28, 10, 35]"
40,155,6,"[41, 6, 19, 49, 25, 12, 23, 2, 26, 12, 4, 49, 45, 1, 30, 36, 42, 7, 8, 32, 29, 27, 9, 40, 1, 49, 4, 24, 21, 12, 45, 16, 28, 14, 50, 15, 11, 40, 3, 48]"
40,182,19,"[22, 15, 28, 16, 42, 12, 30, 15, 8, 19, 49, 41, 12, 10, 40, 37, 39, 42, 36, 30, 3, 36, 22, 14, 38, 38, 21, 48, 48, 28, 36, 37, 3, 11, 21, 5, 48, 34, 29, 7]"
40,167,11,"[1, 33, 29, 17, 24, 5, 40, 36, 48, 23, 14, 3, 46, 16, 4, 50, 10, 38, 25, 18, 26, 42, 4, 15, 34, 4, 14, 42, 28, 18, 10, 10, 13, 27, 2, 43, 12, 29, 18, 27]"
40,172,9,"[4, 49, 49, 21, 3, 36, 5, 7, 18, 42, 16, 8, 26, 16, 30, 37, 34, 41, 8, 48, 38, 33, 4, 25, 22, 24, 12, 24, 4, 8, 50, 34, 12, 21, 30, 8, 49, 35, 10, 48]"
40,184,13,"[17, 29, 11, 41, 7, 7, 37, 3, 30, 7, 48, 28, 39, 7, 28, 31, 6, 50, 6, 2, 41, 24, 15, 49, 43, 13, 26, 17, 22, 6, 11, 39, 35, 39, 4, 3, 29, 7, 27, 4]"
40,155,14,"[43, 40, 27, 35, 22, 43, 44, 21, 37, 8, 45, 20, 49, 30, 46, 11, 9, 12, 24, 20, 3, 11, 6, 44, 45, 46, 6, 8, 21, 47, 24, 38, 4, 2, 44, 50, 20, 44, 9, 4]"
40,170,11,"[3, 45, 23, 33, 25, 35, 3, 34, 42, 16, 44, 31, 3, 5, 47, 16, 22, 16, 48, 30, 49, 43, 41, 32, 24, 28, 22, 17, 38, 5, 8, 13, 8, 50, 23, 38, 35, 12, 8, 18]"
40,172,7,"[46, 1, 50, 25, 4, 36, 4, 9, 4, 35, 18, 8, 37, 6, 26, 34, 44, 47, 10, 12, 9, 3, 9, 33, 44, 18, 31, 3, 27, 7, 1, 9, 49, 25, 45, 10, 19, 11, 34, 20]"
40,182,10,"[9, 15, 38, 48, 39, 47, 9, 17, 9, 25, 48, 27, 33, 44, 13, 40, 35, 36, 42, 6, 12, 27, 11, 14, 18, 40, 20, 47, 16, 17, 49, 35, 12, 22, 35, 28, 2, 33, 12, 47]"
40,154,14,"[24, 4, 4, 34, 14, 45, 21, 13, 10, 43, 9, 48, 17, 31, 50, 21, 25, 23, 25, 17, 22, 49, 18, 22, 20, 15, 50, 37, 8, 39, 8, 46, 24, 26, 46, 44, 1, 38, 23, 28]"
40,195,6,"[15, 17, 24, 13, 22, 48, 6, 48, 28, 14, 27, 35, 14, 30, 1, 4, 15, 48, 19, 46, 45, 28, 21, 14, 2, 37, 50, 30, 17, 19, 32, 33, 1, 11, 32, 34, 25, 45, 39, 19]"
40,160,9,"[32, 36, 41, 40, 36, 25, 4, 40, 33, 27, 13, 19, 5, 29, 14, 13, 45, 25, 9, 25, 19, 22, 22, 34, 1, 46, 35, 15, 34, 27, 12, 4, 4, 26, 15, 30, 33, 39, 25, 27]"
40,163,18,"[8, 41, 47, 45, 42, 18, 10, 18, 45, 22, 34, 38, 1, 38, 4, 12, 1, 18, 29, 30, 35, 8, 47, 44, 16, 20, 41, 5, 10, 44, 44, 6, 34, 6, 43, 42, 10, 34, 8, 14]"
40,186,9,"[18, 11, 13, 26, 18, 41, 23, 13, 20, 41, 4, 36, 25, 18, 38, 27, 2, 14, 3, 29, 32, 13, 47, 36, 33, 24, 39, 31, 31, 32, 34, 18, 7, 4, 2, 23, 34, 34, 2, 36]"
40,179,8,"[4, 46, 11, 30, 12, 8, 38, 17, 42, 42, 36, 7, 42, 44, 36, 33, 34, 5, 2, 30, 39, 50, 39, 33, 15, 24, 35, 27, 8, 27, 17, 34, 25, 24, 21, 33, 7, 29, 22, 42]"
40,169,15,"[40, 4, 42, 32, 3, 14, 7, 26, 46, 12, 4, 22, 1, 45, 23, 34, 50, 40, 45, 1, 5, 50, 20, 24, 23, 28, 5, 32, 7, 50, 5, 21, 12, 28, 17, 40, 7, 20, 35, 26]"
40,166,12,"[44, 14, 21, 25, 34, 4, 21, 31, 9, 44, 27, 19, 48, 45, 50, 46, 10, 4, 43, 23, 42, 39, 36, 5, 10, 22, 41, 32, 35, 35, 33, 25, 23, 19, 34, 28, 31, 12, 36, 48]"
40,189,13,"[15, 28, 1, 37, 3, 7, 18, 16, 32, 48, 48, 35, 27, 6, 13, 15, 13, 4, 30, 44, 12, 28, 7, 48, 7, 7, 33, 41, 14, 44, 29, 37, 14, 46, 20, 9, 40, 33, 2, 32]"
40,192,16,"[38, 41, 29, 42, 34, 33, 6, 10, 8, 43, 22, 46, 6, 38, 29, 18, 41, 26, 41, 40, 23, 33, 21, 2, 50, 2, 22, 27, 39, 31, 5, 43, 32, 14, 21, 37, 39, 15, 41, 36]"
40,162,12,"[34, 16, 21, 42, 13, 47, 19, 8, 42, 14, 5, 21, 10, 3, 13, 47, 39, 41, 27, 30, 23, 33, 3, 10, 32, 50, 8, 41, 16, 38, 38, 35, 16, 32, 24, 26, 1, 41, 23, 45]"
40,183,16,"[26, 43, 48, 50, 49, 40, 31, 22, 35, 1, 13, 46, 40, 4, 49, 40, 14, 5, 5, 37, 21, 14, 41, 39, 25, 10, 4, 36, 3, 1, 13, 48, 41, 13, 35, 23, 27, 6, 13, 38]"
40,162,15,"[30, 46, 40, 41, 42, 17, 13, 48, 22, 40, 13, 40, 43, 19, 14, 27, 26, 23, 32, 14, 8, 3, 1, 33, 21, 11, 30, 42, 15, 45, 25, 10, 30, 49, 48, 30, 21, 4, 47, 45]"
40,167,10,"[19, 36, 2, 27, 42, 49, 45, 15, 47, 20, 40, 8, 4, 39, 4, 46, 6, 49, 33, 20, 15, 22, 8, 8, 4, 7, 33, 18, 11, 21, 45, 40, 33, 45, 14, 19, 45, 5, 25, 35]"
40,180,19,"[50, 46, 16, 32, 23, 15, 5, 45, 16, 37, 2, 14, 47, 45, 6, 13, 40, 3, 4, 33, 34, 36, 5, 45, 28, 25, 1, 42, 36, 34, 19, 16, 18, 1, 22, 18, 20, 43, 28, 46]"
40,172,16,"[33, 48, 39, 29, 32, 33, 19, 3, 41, 16, 18, 35, 36, 22, 2, 1, 34, 1, 26, 33, 33, 7, 23, 16, 37, 3, 12, 37, 29, 11, 48, 23, 14, 14, 4, 15, 7, 22, 33, 33]"
40,180,7,"[46, 2, 36, 29, 38, 47, 9, 32, 16, 49, 8, 16, 31, 37, 36, 35, 48, 2, 47, 30, 21, 3, 30, 40, 15, 33, 38, 7, 13, 48, 20, 8, 32, 45, 17, 38, 46, 30, 24, 8]"
40,197,12,"[39, 5, 26, 39, 28, 35, 36, 7, 8, 41, 16, 46, 49, 32, 19, 31, 35, 22, 22, 42, 19, 8, 17, 13, 23, 18, 37, 6, 2, 30, 5, 27, 46, 39, 2, 41, 10, 31, 30, 6]"
